transaction_id,amount,currency,timestamp,sender_id,sender_name,sender_country,sender_account_age_days,receiver_id,receiver_name,receiver_country,transaction_type,kyc_status,is_sanctioned_entity,is_pep,txn_count_last_24h,txn_count_last_7d,txn_count_last_30d,avg_txn_amount_30d,same_beneficiary_count_7d,days_since_last_txn,is_round_amount
TXN_E3AF708E5EE4,9230.88,CAD,2025-04-15T14:06:06,ACC_71EB9043,Igor Dubois,DE,3124,ACC_4653A3CA,Yuki Müller,FR,card_payment,verified,False,False,0,0,0,0,0,-1,False
TXN_3E802547922A,2760.49,USD,2025-04-29T15:55:59,ACC_FD356FFB,Fatima Petrov,ES,3037,ACC_EC74E87A,Olga Ivanova,SE,ach,pending,False,False,0,0,0,0,0,-1,False
TXN_EEEB371BB337,5690.81,USD,2025-04-10T16:59:50,ACC_337D04F4,David Johansson,FR,3077,ACC_A40BF859,Lisa Patel,PK,wire_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_492B7CDC7752,31683.55,GBP,2025-05-10T00:10:03,ACC_E50C6229,Priya Abdullah,SE,151,ACC_153300F8,Mohammed Petrov,US,internal_transfer,incomplete,False,False,0,0,0,0,0,-1,False
TXN_55163F6AD660,3136.58,GBP,2025-06-22T06:20:15,ACC_716B30BD,Yuki Al-Rashid,IN,3445,ACC_9190DFFA,Lisa Wang,AE,internal_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_87D9C416DB3A,937.99,EUR,2025-03-04T19:18:10,ACC_11104DAC,Ravi García,ZA,26,ACC_96A31DDB,Raj Tanaka,SG,wire_transfer,pending,False,False,0,0,0,0,0,-1,False
TXN_B8D00E2EBBD9,5505.02,CAD,2025-02-24T06:21:13,ACC_A666721A,Deepika García,SE,744,ACC_05A0B4F0,Hans Sharma,AU,card_payment,pending,False,False,0,0,0,0,0,-1,False
TXN_732B10EEFF03,8417.99,USD,2025-01-29T10:56:44,ACC_008CDCDE,Ravi Santos,US,106,ACC_96A31DDB,Wei Zhang,DE,wire_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_2D0371548667,13263.18,USD,2025-04-16T03:47:09,ACC_DBA7F645,Igor Zhang,NG,242,ACC_41ADF4CD,Pierre Johansson,ES,cash_deposit,incomplete,False,False,0,0,0,0,0,-1,False
TXN_A5091F3CD6AF,2445.53,AUD,2025-01-10T23:14:12,ACC_D78DF847,Deepika Sharma,GB,462,ACC_D3414103,Maria Fischer,ES,wire_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_7659EC1F92DF,4477.21,EUR,2025-01-08T11:56:16,ACC_70020106,Yuki Yamamoto,PK,336,ACC_6694DF8D,Ravi Park,GB,internal_transfer,pending,False,False,0,0,0,0,0,-1,False
TXN_86501FB8DBAD,35901.44,USD,2025-05-15T01:43:46,ACC_AFA8C36E,Chen Johnson,BR,200,ACC_3BC7DF6F,Mei Petrov,DE,card_payment,pending,True,False,0,0,0,0,0,-1,False
TXN_FB9D0280054E,230612.19,INR,2025-06-20T20:43:47,ACC_CC282357,Amit Gupta,CA,31,ACC_C8D412DB,Amit Zhang,FR,card_payment,verified,False,False,0,0,0,0,0,-1,False
TXN_A7D1ED8548C1,11942.41,USD,2025-02-14T05:05:18,ACC_04A3D579,Anna Ivanova,AE,151,ACC_24A0D9B7,Aisha Dubois,GB,wire_transfer,pending,False,False,0,0,0,0,0,-1,False
TXN_25276B7792A7,1209333.22,JPY,2025-06-28T20:31:25,ACC_2B3E1BCA,Amit Patel,BR,85,ACC_8F4CCC96,Lisa Müller,US,internal_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_42A348D3B659,9068.57,SGD,2025-05-17T01:38:20,ACC_6663DDA7,Raj Kapoor,SG,249,ACC_3345DFD8,Anna Sato,KR,cash_deposit,verified,False,False,0,0,0,0,0,-1,False
TXN_812EE9A03688,8464.84,EUR,2025-03-12T22:04:45,ACC_A40BF859,Mohammed Petrov,GB,72,ACC_DBA7F645,Elena Hassan,GB,ach,verified,False,False,0,0,0,0,0,-1,False
TXN_0B31BDEE51CF,5677.74,EUR,2025-05-31T06:01:54,ACC_4079ECA2,Sven Johansson,DE,183,ACC_D76BAB16,Lisa Popov,US,internal_transfer,incomplete,False,False,0,0,0,0,0,-1,False
TXN_27A4C69DBCEB,5889.43,EUR,2025-01-08T20:21:42,ACC_90EFA93D,Mohammed Fischer,KR,2914,ACC_F2FF66FB,Elena García,NL,wire_transfer,incomplete,False,False,0,0,0,0,0,-1,False
TXN_8A16DE0A781D,6393.47,CAD,2025-04-27T18:21:48,ACC_6CCC49EC,Anna Fischer,MX,9,ACC_F1E2C698,Mohammed Kapoor,NL,card_payment,verified,False,False,0,0,0,0,0,-1,False
TXN_2F80C3D6B5F8,92792.7,AED,2025-03-05T14:53:01,ACC_990E03C4,Aisha Johansson,IN,319,ACC_AE70FAB2,João Tanaka,JP,internal_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_EBE2FF638954,1215659.25,JPY,2025-03-22T02:43:58,ACC_AAF08C9D,Igor Tanaka,AF,352,ACC_9190DFFA,Igor Park,IN,internal_transfer,pending,False,False,0,0,0,0,0,-1,False
TXN_3EDA9193F7E2,778828.27,JPY,2025-05-11T04:21:00,ACC_76E36B6B,Aisha Popov,US,266,ACC_406C2D00,Sophie Anderson,PK,card_payment,verified,False,False,0,0,0,0,0,-1,False
TXN_AECA314330F4,1244604.23,JPY,2025-03-24T15:53:59,ACC_39672800,Fatima Ivanova,CH,2865,ACC_C477868A,Wei Santos,IN,card_payment,verified,False,False,0,0,0,0,0,-1,False
TXN_0759FCB80276,1472784.69,JPY,2025-03-13T01:00:33,ACC_2ECD5EC7,Mohammed Johnson,IN,154,ACC_F0AC0DB0,Anna Yamamoto,FR,wire_transfer,pending,False,False,0,0,0,0,0,-1,False
TXN_DE23B7762790,5684.39,GBP,2025-05-16T19:27:47,ACC_96A31DDB,Deepika Silva,DE,159,ACC_103C1161,Fatima Wang,JP,internal_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_1948294BB3EB,14649.34,USD,2025-05-16T03:18:06,ACC_97629559,Hans Dubois,IN,304,ACC_8D669857,Deepika Ivanova,IN,ach,expired,False,False,0,0,0,0,0,-1,False
TXN_EBAB7CFA7B12,32108.48,USD,2025-05-03T22:21:11,ACC_84EBF18E,Carlos Popov,AF,64,ACC_CA6E998A,David Johnson,JP,ach,verified,False,False,0,0,0,0,0,-1,False
TXN_ABB543F03A75,6248.45,USD,2025-06-03T03:14:49,ACC_E3A82495,Deepika Wang,FR,332,ACC_6CCC49EC,Hans Wang,FR,wire_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_063C191D9B95,662614.7,INR,2025-02-10T08:26:28,ACC_905549C2,Igor Popov,JP,3245,ACC_9B71E5C0,Hans Park,US,card_payment,verified,False,False,0,0,0,0,0,-1,False
TXN_2135D339F400,6539.3,GBP,2025-06-15T12:58:17,ACC_C79E1D58,Raj Liu,US,322,ACC_597FEE3B,Lisa Ivanova,ES,cash_deposit,verified,False,False,0,0,0,0,0,-1,False
TXN_ECB678BC0A32,881573.44,INR,2025-06-04T16:01:05,ACC_032367DD,Sophie Sharma,NL,1,ACC_90EFA93D,Fatima Park,CA,cash_deposit,pending,False,False,0,0,0,0,0,-1,False
TXN_6DC7B4A4BD06,564277.47,INR,2025-04-15T18:20:42,ACC_303F3197,Yuki Kapoor,GB,3481,ACC_61175672,Kenji Dubois,ZA,card_payment,verified,False,False,0,0,0,0,0,-1,False
TXN_C6E9E570229E,7329.59,EUR,2025-04-16T09:12:33,ACC_81AC5FF8,Yuki Smith,MX,57,ACC_3807140F,Hans Abdullah,AE,cash_deposit,verified,False,False,0,0,0,0,0,-1,False
TXN_93A39F922F6E,29702.7,JPY,2025-04-15T10:14:53,ACC_98441A69,Olga Müller,AF,286,ACC_664A97D8,Amit Anderson,AE,cash_deposit,pending,False,False,0,0,0,0,0,-1,False
TXN_FA657C43E6B1,11196.93,USD,2025-02-04T10:17:49,ACC_EE0523DE,Pierre García,YE,1524,ACC_33EE4432,Amit Anderson,AU,cash_deposit,pending,False,False,0,0,0,0,0,-1,False
TXN_880306C3072E,452963.46,INR,2025-03-24T14:44:15,ACC_43029B35,Olga Patel,IN,193,ACC_85400B7B,Carlos Liu,IT,ach,incomplete,False,False,0,0,0,0,0,-1,False
TXN_58B14582F0BB,45639.88,AED,2025-01-27T00:58:29,ACC_B9A948CC,Hans Al-Rashid,IN,2289,ACC_CFC4BF1D,Pierre Hassan,CH,cash_deposit,verified,False,False,0,0,0,0,0,-1,False
TXN_62F620945D36,6185.14,CAD,2025-05-06T01:02:39,ACC_3721E8C2,Amit Khan,AE,2143,ACC_8CBE59DC,João Johnson,KP,wire_transfer,pending,False,False,0,0,0,0,0,-1,False
TXN_AC509A9B3220,58374.66,SGD,2025-03-17T19:23:27,ACC_8F4CCC96,Olga Laurent,AU,123,ACC_2B21A55E,David García,CA,ach,verified,False,False,0,0,0,0,0,-1,False
TXN_01C9EC5EB012,10005.94,USD,2025-04-30T17:43:34,ACC_5ED8A4A1,Wei Yamamoto,FR,2983,ACC_597FEE3B,Pierre Ivanova,DE,card_payment,verified,False,False,0,0,0,0,0,107,False
TXN_2549AB1AAD67,4445.13,USD,2025-06-29T17:01:53,ACC_71EB9043,Aisha Popov,GB,2849,ACC_A690D6E3,Maria Müller,CA,ach,pending,False,False,0,0,0,0,0,75,False
TXN_783078C7054C,9735.32,EUR,2025-06-19T05:53:08,ACC_3807140F,Ahmed Johansson,HK,502,ACC_547ECA51,Elena Khan,AE,card_payment,pending,False,False,0,0,0,0,0,-1,False
TXN_2AAD8A65173C,5494.2,USD,2025-05-09T16:53:10,ACC_CA6E998A,Pierre Zhang,PK,204,ACC_2A70BA41,Sven Zhang,GB,ach,verified,False,False,0,0,0,0,0,-1,False
TXN_3615036AC90C,4944.31,CHF,2025-04-12T08:16:34,ACC_9ED1A772,Olga Smith,DE,1926,ACC_D78DF847,Aisha Verma,MX,ach,incomplete,False,False,0,0,0,0,0,-1,False
TXN_DCF9FFCABAB5,34990.85,AED,2025-06-12T22:58:44,ACC_C2561AE8,Amit Santos,FR,186,ACC_82FF8062,Mei Johansson,IN,cash_deposit,verified,False,False,0,0,0,0,0,-1,False
TXN_37F99FBD9039,8721.92,GBP,2025-04-18T04:06:53,ACC_6D8CF8CC,Mei Santos,FR,220,ACC_C8D412DB,Lisa Verma,PK,wire_transfer,expired,False,False,0,0,0,0,0,-1,False
TXN_C2A5D4F62625,2570.52,CHF,2025-02-01T22:05:42,ACC_81806363,Wei Park,AE,1363,ACC_A16C0EC9,Wei Sato,NG,internal_transfer,pending,False,False,0,0,0,0,0,-1,False
TXN_48A595AAF574,17561.85,CAD,2025-01-01T16:54:09,ACC_78F4B4AB,James Khan,IN,22,ACC_DAB2E1F9,Raj Patel,IN,card_payment,pending,False,False,0,0,0,0,0,-1,False
TXN_AE60E609931D,962.73,USD,2025-04-25T19:32:37,ACC_4993FCF5,Pierre Yamamoto,JP,297,ACC_337D04F4,Elena Zhang,AF,cash_deposit,expired,False,False,0,0,0,0,0,-1,False
TXN_6CA1AEED8466,13490.01,USD,2025-03-25T03:09:04,ACC_61835970,Elena Tanaka,AE,1926,ACC_F1E2C698,Igor Silva,CA,internal_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_B4C4B704E64B,8274.52,USD,2025-02-25T21:28:56,ACC_032367DD,Mei Laurent,DE,79,ACC_EE0523DE,Olga Al-Rashid,JP,ach,verified,False,False,1,1,1,881573.44,0,-99,False
TXN_E402FB0810D1,11171.39,USD,2025-04-06T12:35:03,ACC_79F633BA,Sarah Abdullah,CA,3091,ACC_FB7C4ED2,Sarah Santos,BR,wire_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_585D99DB910B,7238.02,USD,2025-01-28T19:54:35,ACC_B518E34B,James Abdullah,IT,2663,ACC_98441A69,Sophie Zhang,CA,internal_transfer,pending,False,False,0,0,0,0,0,-1,False
TXN_D7C34EF933DC,15815.18,AUD,2025-03-21T18:22:00,ACC_D02AB161,Ahmed Khan,CA,5,ACC_C79E1D58,Maria Johnson,FR,cash_deposit,verified,False,False,0,0,0,0,0,-1,False
TXN_06ECCF68B860,1028.63,GBP,2025-01-14T12:10:48,ACC_C8D412DB,Yuki Santos,BR,2355,ACC_04D11D1C,Elena Tanaka,GB,internal_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_59BAD26F5C8A,800725.5,INR,2025-01-12T15:25:38,ACC_46185EEF,Fatima García,IN,101,ACC_EF6F03B1,Kenji Anderson,AF,cash_deposit,verified,False,True,0,0,0,0,0,-1,False
TXN_855E1EA68EAA,9676.34,GBP,2025-01-19T20:55:47,ACC_DF9041A7,Yuki Yamamoto,US,191,ACC_11104DAC,James Hassan,MM,card_payment,verified,False,False,0,0,0,0,0,-1,False
TXN_836D4F9C708C,10347.25,USD,2025-04-03T10:27:54,ACC_4993FCF5,Chen Fischer,FR,1636,ACC_2B21A55E,Yuki Liu,FR,wire_transfer,verified,False,False,1,1,1,962.73,0,-23,False
TXN_AA3D1709C28F,9822.34,EUR,2025-06-15T12:15:06,ACC_8F4CCC96,Deepika Park,IN,1091,ACC_6F4B6BC0,Amit Zhang,SG,internal_transfer,verified,False,False,0,0,0,0,0,89,False
TXN_E7E53070FDC5,12183.81,SGD,2025-06-10T18:09:28,ACC_3721E8C2,Priya Santos,FR,333,ACC_2F54E8FB,Yoko Johnson,GB,wire_transfer,verified,False,False,0,0,0,0,0,35,False
TXN_138DD0468400,9228.98,USD,2025-05-10T20:29:37,ACC_9E1A5C50,Amit Tanaka,HK,323,ACC_A1E2E43B,Igor Verma,FR,wire_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_63A5B6FA3147,14543.17,AUD,2025-01-11T15:45:28,ACC_11104DAC,Mohammed Hassan,AU,175,ACC_12B9E3A8,Yuki Anderson,IN,card_payment,verified,False,False,1,1,1,937.99,0,-53,False
TXN_BF792E66EB57,7882.2,GBP,2025-06-04T12:21:05,ACC_6694DF8D,Hans Popov,IN,894,ACC_24A0D9B7,Ahmed Sato,DE,cash_deposit,incomplete,False,False,0,0,0,0,0,-1,False
TXN_62158F6532DA,14957.49,USD,2025-05-15T10:41:42,ACC_47FD3F3A,Carlos Al-Rashid,DE,1765,ACC_04A3D579,Sarah Dubois,DE,ach,verified,False,False,0,0,0,0,0,-1,False
TXN_061670530F18,1551413.76,JPY,2025-05-15T09:42:21,ACC_C8D55A14,Priya Petrov,IN,3203,ACC_C8D412DB,Maria Zhang,DE,cash_deposit,pending,False,False,0,0,0,0,0,-1,False
TXN_7674D02D2373,9031.17,GBP,2025-04-25T15:34:15,ACC_3A0C8A22,Elena Khan,HK,323,ACC_2F54E8FB,Yoko Wang,IN,internal_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_8EA985CC0A2B,14431.91,AUD,2025-04-07T01:59:06,ACC_FE7579AB,Sophie Müller,SE,113,ACC_43458FDE,Yoko Gupta,GB,wire_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_241A58DADDF7,7739.91,CAD,2025-04-06T15:24:05,ACC_D261E93D,João Sato,US,1739,ACC_DB39B753,Carlos Kapoor,SY,cash_deposit,verified,False,False,0,0,0,0,0,-1,False
TXN_9BAF469BDBA0,1000.0,GBP,2025-01-05T16:13:53,ACC_008CDCDE,Hans Popov,AF,87,ACC_9E1A5C50,Aisha Gupta,SG,cash_deposit,verified,False,False,1,1,1,8417.99,0,-24,True
TXN_F4A87B57CF03,8045.45,USD,2025-06-12T00:36:15,ACC_9C0E90E8,Mohammed Liu,GB,154,ACC_C79E1D58,Lisa Liu,US,card_payment,verified,False,False,0,0,0,0,0,-1,False
TXN_3F41B2DAD0E4,2500000.0,JPY,2025-01-13T04:24:23,ACC_F583AE3E,Carlos Patel,US,3368,ACC_0E13B896,Maria Anderson,IT,card_payment,verified,False,False,0,0,0,0,0,-1,True
TXN_66B51BC6BCA8,821776.74,INR,2025-06-28T23:40:11,ACC_BC6C00C2,Chen Yamamoto,KR,2,ACC_C1948687,Yoko Anderson,AF,card_payment,verified,False,False,0,0,0,0,0,-1,False
TXN_60C529349941,3293801.0,INR,2025-03-15T19:55:49,ACC_04D11D1C,Olga Silva,GB,2004,ACC_71EB9043,Olga Santos,US,ach,incomplete,False,False,0,0,0,0,0,-1,False
TXN_4427D0DCDEBE,14182.18,SGD,2025-01-21T21:38:52,ACC_D02AB161,Maria Gupta,GB,182,ACC_96A31DDB,Priya Johansson,US,cash_deposit,pending,False,False,1,1,1,15815.18,0,-59,False
TXN_60192EE141BC,5364.71,CAD,2025-01-15T10:42:40,ACC_F2FF66FB,Mohammed Müller,AU,950,ACC_32A4B249,Deepika Fischer,MX,ach,verified,False,False,0,0,0,0,0,-1,False
TXN_15C0BE943D20,726311.25,INR,2025-06-23T22:23:23,ACC_3345DFD8,Olga Liu,US,1653,ACC_C8D55A14,Kenji Laurent,IN,ach,verified,False,False,0,0,0,0,0,-1,False
TXN_B67243C8B5EA,6030.22,EUR,2025-06-06T17:44:58,ACC_6D8CF8CC,Mei Santos,US,119,ACC_5150A11E,João Al-Rashid,SE,card_payment,verified,False,False,0,0,0,0,0,49,False
TXN_11537D02F938,2134.75,EUR,2025-06-30T04:11:50,ACC_81AC5FF8,Amit Popov,IN,1335,ACC_04A3D579,Lisa García,NG,card_payment,verified,False,False,0,0,0,0,0,74,False
TXN_131E1FF759EE,13494.54,EUR,2025-05-04T00:26:49,ACC_CC04641C,Hans Park,US,68,ACC_0D2EEF94,Fatima Kapoor,NG,internal_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_D2A25A82B094,3039.52,AED,2025-02-02T00:09:19,ACC_61175672,Raj García,GB,1529,ACC_41ADF4CD,Hans Johnson,KR,internal_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_FBBD67CCFDF7,7993.5,EUR,2025-05-29T12:10:42,ACC_990E03C4,Raj Fischer,HK,534,ACC_CFC4BF1D,Wei Kapoor,DE,internal_transfer,verified,False,False,0,0,0,0,0,84,False
TXN_B0CAE3CAF4F0,50000.0,EUR,2025-03-17T04:19:30,ACC_2B3E1BCA,Carlos Hassan,FR,61,ACC_905549C2,Pierre Silva,JP,internal_transfer,verified,False,False,1,1,1,1209333.22,0,-104,True
TXN_E13C72B0AE61,478760.57,INR,2025-04-06T00:35:06,ACC_7BBC0742,Anna Dubois,JP,8,ACC_8CBE59DC,Ravi Khan,GB,cash_deposit,incomplete,False,False,0,0,0,0,0,-1,False
TXN_6DE229605D65,4283.42,AUD,2025-02-10T23:32:29,ACC_AA366C88,Sarah Ivanova,JP,2238,ACC_F46AF5D9,Aisha Verma,US,wire_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_24F087C89ABF,198.87,AUD,2025-01-28T21:08:56,ACC_716B30BD,Kenji Liu,DE,575,ACC_5E2E5EF3,Amit Kapoor,FR,wire_transfer,verified,False,False,1,1,1,3136.58,0,-145,False
TXN_F42C353870E7,8252.97,EUR,2025-02-02T11:25:23,ACC_CAAC1626,Igor Ivanova,AF,339,ACC_FB7C4ED2,Chen Gupta,MX,card_payment,verified,False,False,1,1,1,8249.64,0,-40,False
TXN_65777EC94DBE,13971.22,USD,2025-03-23T13:25:39,ACC_AFA8C36E,Ahmed Zhang,SG,2372,ACC_8D669857,Yuki Petrov,AU,card_payment,verified,True,False,1,1,1,35901.44,0,-53,False
TXN_2C542508A231,9291.71,EUR,2025-01-08T03:30:16,ACC_82FF8062,Carlos Sato,CA,329,ACC_48A0B982,Mei Müller,IN,cash_deposit,verified,False,False,1,1,1,3826272.25,0,-140,False
TXN_A49B68C4DA6A,293.87,USD,2025-03-22T21:09:26,ACC_905549C2,Ahmed Zhang,FR,3379,ACC_76995242,Olga Liu,IT,internal_transfer,pending,False,False,0,0,0,0,0,40,False
TXN_3D4BCF47B0E3,639985.91,INR,2025-05-20T19:43:49,ACC_3B4FA75F,Deepika Johnson,AE,1153,ACC_5AE4B4B1,João Wang,ZA,card_payment,verified,False,False,0,0,0,0,0,-1,False
TXN_A61E33D633DD,6730.25,GBP,2025-03-12T17:07:36,ACC_90EFA93D,Maria Laurent,DE,3532,ACC_DAB2E1F9,Amit Fischer,NG,wire_transfer,verified,False,False,0,0,0,0,0,62,False
TXN_0C94623AE8DD,646524.22,INR,2025-05-25T06:17:08,ACC_4993FCF5,Yuki Zhang,MX,1290,ACC_C8D412DB,Deepika García,IN,cash_deposit,verified,False,False,0,0,1,962.73,0,29,False
TXN_0E68B49A60D2,6109.54,USD,2025-05-02T23:41:12,ACC_6663DDA7,Sophie Laurent,GB,3037,ACC_A40BF859,Fatima Petrov,AE,wire_transfer,verified,False,False,1,1,1,9068.57,0,-15,False
TXN_F2CE76110764,19444.89,CAD,2025-04-12T23:11:59,ACC_133E73FE,Chen Ivanova,CH,805,ACC_DAF0EA9A,Ravi García,US,internal_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_254F4B6F62B5,2209.92,CAD,2025-02-12T07:29:41,ACC_CA6E998A,Yoko Petrov,IN,2691,ACC_3B4FA75F,Chen Hassan,KR,cash_deposit,verified,False,False,1,1,1,5494.2,0,-87,False
TXN_241373F3CE92,2117.77,USD,2025-03-24T15:00:16,ACC_85400B7B,Priya Zhang,FR,2751,ACC_DBA7F645,Yuki Gupta,GB,ach,verified,False,False,0,0,0,0,0,-1,False
TXN_02B447BD2CB6,1074194.48,INR,2025-06-30T17:44:07,ACC_A792D40E,Sophie Ivanova,DE,275,ACC_555A7E32,Deepika Anderson,IN,internal_transfer,expired,True,False,0,0,0,0,0,-1,False
TXN_23907A041143,15312.49,AUD,2025-06-02T10:33:28,ACC_12B9E3A8,Ahmed Dubois,DE,2609,ACC_21F085D9,Chen Gupta,KP,ach,verified,False,False,0,0,0,0,0,-1,False
TXN_A8F116981D00,1373.22,USD,2025-05-11T22:51:03,ACC_337D04F4,Yoko Smith,AU,2259,ACC_78F4B4AB,Sven Wang,JP,card_payment,verified,False,True,0,0,0,0,0,31,False
TXN_814AF881AA7F,30251.9,EUR,2025-01-18T01:03:59,ACC_3721E8C2,Ravi Yamamoto,US,3502,ACC_2F54E8FB,Amit Dubois,FR,card_payment,pending,False,False,2,2,2,9184.48,1,-144,False
TXN_83BD9A5437B2,18801.35,SGD,2025-05-19T12:41:55,ACC_D3414103,Amit Zhang,IN,3347,ACC_ED0554C0,Sven Anderson,AU,card_payment,pending,False,False,0,0,0,0,0,-1,False
TXN_A32B8BDB7C81,553020.02,INR,2025-02-09T16:12:59,ACC_CFC4BF1D,Yuki Abdullah,US,3503,ACC_C8D55A14,Priya Gupta,ES,wire_transfer,incomplete,False,False,0,0,0,0,0,-1,False
TXN_4F2CBDF3C8A9,1000.0,EUR,2025-04-13T22:14:34,ACC_90C0E108,Deepika Zhang,CH,1325,ACC_6DA4C699,Yoko Hassan,US,internal_transfer,pending,False,False,0,0,0,0,0,-1,True
TXN_955C15349CE3,7823.55,USD,2025-04-16T17:17:03,ACC_1D6C1D11,Igor Liu,CH,249,ACC_9B71E5C0,Ahmed Silva,IR,cash_deposit,expired,False,False,0,0,0,0,0,-1,False
TXN_8E981F60FA5D,905422.11,INR,2025-05-02T15:54:14,ACC_8D669857,Raj Wang,IN,2056,ACC_FE7579AB,Ahmed Fischer,JP,ach,verified,False,False,0,0,0,0,0,-1,False
TXN_03945104600E,8039.18,USD,2025-02-18T09:17:24,ACC_5FE68C6F,Sarah Laurent,SG,3332,ACC_8B9134D2,James Wang,CH,card_payment,verified,False,False,0,0,0,0,0,-1,False
TXN_A499067BB5C0,53976.91,AED,2025-05-03T15:44:38,ACC_A4F0E706,Chen Verma,DE,175,ACC_76995242,Olga Gupta,IN,card_payment,verified,False,False,0,0,0,0,0,-1,False
TXN_56BA95A1E268,12597.57,USD,2025-02-22T19:20:26,ACC_4565FE22,Wei Hassan,CH,2632,ACC_D6C36803,Anna Yamamoto,MX,ach,verified,False,False,0,0,0,0,0,-1,False
TXN_B8233F3DA6D1,12737.34,EUR,2025-03-28T16:48:52,ACC_6D8CF8CC,Hans Patel,AE,211,ACC_F931B2A2,Chen Patel,JP,internal_transfer,verified,False,False,2,2,2,7376.07,0,-71,False
TXN_1F943464DD36,68174.85,AUD,2025-01-13T08:26:08,ACC_5BB65C1C,Sophie Ivanova,US,289,ACC_6AC7DF0C,Mei Ivanova,IN,internal_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_4B2CCBE1882C,260.72,USD,2025-03-13T01:18:01,ACC_2B1776F8,Chen Sharma,BR,804,ACC_627B8B2C,Yoko Santos,ES,internal_transfer,verified,False,False,0,0,0,0,0,-1,False
TXN_BAF0A39E6559,487529.88,INR,2025-05-25T15:44:14,ACC_8D669857,Priya Fischer,NL,28,ACC_905549C2,James Silva,US,cash_deposit,verified,False,False,0,0,1,905422.11,0,22,False
TXN_EF37404D5CD9,11767.8,USD,2025-05-25T11:57:33,ACC_DF9041A7,Ravi Anderson,IN,321,ACC_6AC7DF0C,David Zhang,CH,card_payment,incomplete,False,False,0,0,0,0,0,125,False
TXN_807151C0639E,14422.42,USD,2025-05-31T12:48:52,ACC_FE7579AB,Kenji Kapoor,SY,2687,ACC_A690D6E3,Sven García,GB,card_payment,verified,False,False,0,0,0,0,0,54,False
